z	zmin	zmax	tlook	tlookmin	tlookmax	dl		z	tlook	a	delta-tlook		a1	a2	t1	t2	t-interp	Chi^2
0.84	0.6963	0.8269	6.5423	6.1865	6.8651	1.5591		0.84	-6.5423	0.543478261	0.3393		0.54	0.55	-6.782757978	-6.628685184	-6.729167441	0.303318959
0.954	0.8569	1.0655	7.4766	7.0075	7.8784	2.0839		0.954	-7.4766	0.511770727	0.43545		0.51	0.52	-7.243265342	-7.09009996	-7.216143939	0.357760466
0.9	0.6768	0.8299	6.4953	6.0761	6.8796	1.5377		0.9	-6.4953	0.526315789	0.40175		0.52	0.53	-7.09009996	-6.93657999	-6.993139979	1.535563458
0.935	0.7519	0.95	6.9864	6.4875	7.4201	1.7901		0.935	-6.9864	0.516795866	0.4663		0.51	0.52	-7.243265342	-7.09009996	-7.139176207	0.107344702
0.67	0.5748	0.6993	5.8476	5.4555	6.2033	1.2499		0.67	-5.8476	0.598802395	0.3739		0.59	0.6	-6.010864541	-5.856259502	-5.874775076	0.005282392
0.735	0.5763	0.6738	5.7752	5.4652	6.0589	1.2215		0.735	-5.7752	0.576368876	0.29685		0.57	0.58	-6.319985657	-6.16545472	-6.221566818	2.261047568
0.64	0.5343	0.6558	5.5895	5.1874	5.9544	1.1505		0.64	-5.5895	0.609756098	0.3835		0.6	0.61	-5.856259502	-5.701682548	-5.705452717	0.091417876
1.34	1.058	1.3582	8.3779	7.8503	8.8232	2.7725		1.34	-8.3779	0.427350427	0.48645		0.42	0.43	-8.596545259	-8.449126622	-8.488186261	0.051400389
1.14	0.9875	1.2486	8.0743	7.5751	8.5012	2.517		1.14	-8.0743	0.46728972	0.46305		0.46	0.47	-8.001849437	-7.851287316	-7.892093872	0.154835371
1.305	0.914	1.1631	7.782	7.2653	8.2245	2.2955		1.305	-7.782	0.433839479	0.4796		0.43	0.44	-8.449126622	-8.300829859	-8.392188385	1.618711769
1.3	1.1721	1.3762	8.5793	8.2548	8.873	2.9572		1.3	-8.5793	0.434782609	0.3091		0.43	0.44	-8.449126622	-8.300829859	-8.378202083	0.423269655
0.97	0.941	1.2606	8.0156	7.382	8.5382	2.471		0.97	-8.0156	0.507614213	0.5781		0.5	0.51	-7.396022343	-7.243265342	-7.279709906	1.62039157
1.37	1.2186	1.4917	8.819	8.4068	9.1731	3.198		1.37	-8.819	0.421940928	0.38315		0.42	0.43	-8.596545259	-8.449126622	-8.567932359	0.429381989
1.02	0.7639	0.95	7.0145	6.5501	7.4201	1.8067		1.02	-7.0145	0.495049505	0.435		0.49	0.5	-7.548315964	-7.396022343	-7.471415225	1.103297781
1.23	1.2036	1.4482	8.734	8.3585	9.0638	3.1108		1.23	-8.734	0.448430493	0.35265		0.44	0.45	-8.300829859	-8.151717056	-8.17512041	2.511589869
1.14	0.8854	1.1376	7.6829	7.1384	8.1373	2.2227		1.14	-7.6829	0.46728972	0.49945		0.46	0.47	-8.001849437	-7.851287316	-7.892093872	0.175434047
0.975	0.8329	1.028	7.3435	6.894	7.7357	1.9993		0.975	-7.3435	0.506329114	0.42085		0.5	0.51	-7.396022343	-7.243265342	-7.299340697	0.011010062
1.23	1.1331	1.3312	8.4496	8.1217	8.7469	2.8371		1.23	-8.4496	0.448430493	0.3126		0.44	0.45	-8.300829859	-8.151717056	-8.17512041	0.770978317
0.954	0.7249	0.902	6.8068	6.3435	7.2124	1.6939		0.954	-6.8068	0.511770727	0.43445		0.51	0.52	-7.243265342	-7.09009996	-7.216143939	0.887763173
